
2025/02/11 (17:22:42) | ===> btop++ v.1.4.0
2025/02/11 (17:22:42) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (17:25:02) | ===> btop++ v.1.4.0
2025/02/11 (17:25:02) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (17:17:01) | ===> btop++ v.1.4.0
2025/02/11 (17:17:01) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (21:31:34) | ===> btop++ v.1.4.0
2025/02/12 (21:31:34) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (22:14:49) | ===> btop++ v.1.4.0
2025/02/12 (22:14:49) | WARNING: Failed to join _runner thread on exit!

2025/02/14 (21:16:27) | ===> btop++ v.1.4.0
2025/02/14 (21:16:27) | WARNING: Failed to join _runner thread on exit!

2025/02/14 (21:19:38) | ===> btop++ v.1.4.0
2025/02/14 (21:19:38) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (00:06:55) | ===> btop++ v.1.4.0
2025/02/15 (00:06:55) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (21:11:30) | ===> btop++ v.1.4.0
2025/02/17 (21:11:30) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (18:00:27) | ===> btop++ v.1.4.0
2025/02/19 (18:00:27) | WARNING: Failed to join _runner thread on exit!

2025/02/20 (15:27:43) | ===> btop++ v.1.4.0
2025/02/20 (15:27:43) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (17:01:45) | ===> btop++ v.1.4.0
2025/02/25 (17:01:45) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (17:28:10) | ===> btop++ v.1.4.0
2025/02/25 (17:28:10) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (17:30:22) | ===> btop++ v.1.4.0
2025/02/25 (17:30:22) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (22:58:24) | ===> btop++ v.1.4.0
2025/02/25 (22:58:24) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (16:38:42) | ===> btop++ v.1.4.0
2025/02/27 (16:38:42) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (16:38:53) | ===> btop++ v.1.4.0
2025/02/27 (16:38:53) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (16:39:14) | ===> btop++ v.1.4.0
2025/02/27 (16:39:14) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (20:11:24) | ===> btop++ v.1.4.0
2025/02/27 (20:11:24) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (20:11:36) | ===> btop++ v.1.4.0
2025/02/27 (20:11:36) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (22:40:29) | ===> btop++ v.1.4.0
2025/02/27 (22:40:29) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (17:55:13) | ===> btop++ v.1.4.0
2025/03/01 (17:55:13) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (22:50:12) | ===> btop++ v.1.4.0
2025/03/03 (22:50:12) | WARNING: Failed to join _runner thread on exit!

2025/03/08 (23:03:37) | ===> btop++ v.1.4.0
2025/03/08 (23:03:37) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (13:50:46) | ===> btop++ v.1.4.0
2025/03/13 (13:50:46) | WARNING: Failed to join _runner thread on exit!

2025/03/14 (19:28:31) | ===> btop++ v.1.4.0
2025/03/14 (19:28:31) | WARNING: Failed to join _runner thread on exit!

2025/03/14 (19:29:17) | ===> btop++ v.1.4.0
2025/03/14 (19:29:17) | WARNING: Failed to join _runner thread on exit!

2025/03/15 (14:22:27) | ===> btop++ v.1.4.0
2025/03/15 (14:22:27) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (16:32:18) | ===> btop++ v.1.4.0
2025/03/17 (16:32:18) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (22:08:40) | ===> btop++ v.1.4.0
2025/03/18 (22:08:40) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (16:41:08) | ===> btop++ v.1.4.0
2025/03/19 (16:41:08) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (18:20:01) | ===> btop++ v.1.4.0
2025/03/19 (18:20:01) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (22:43:56) | ===> btop++ v.1.4.0
2025/03/21 (22:43:56) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (20:47:22) | ===> btop++ v.1.4.0
2025/03/23 (20:47:22) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (21:07:48) | ===> btop++ v.1.4.0
2025/03/23 (21:07:48) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (18:09:49) | ===> btop++ v.1.4.0
2025/03/25 (18:09:49) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (18:59:18) | ===> btop++ v.1.4.0
2025/04/10 (18:59:18) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (19:00:37) | ===> btop++ v.1.4.0
2025/04/10 (19:00:37) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (20:19:12) | ===> btop++ v.1.4.0
2025/04/14 (20:19:12) | WARNING: Failed to join _runner thread on exit!

2025/04/18 (16:58:16) | ===> btop++ v.1.4.0
2025/04/18 (16:58:16) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (00:00:40) | ===> btop++ v.1.4.0
2025/04/19 (00:00:40) | WARNING: Failed to join _runner thread on exit!

2025/04/23 (08:58:47) | ===> btop++ v.1.4.0
2025/04/23 (08:58:47) | WARNING: Failed to join _runner thread on exit!
